model,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,log_loss,tn,fp,fn,tp,selected
hist_gradient_boosting,0.4,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.45,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.5,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,True
hist_gradient_boosting,0.55,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.6,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.65,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.7,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.75,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.8,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.85,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
hist_gradient_boosting,0.9,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.14233181246195756,0.6578771115693842,3,1,0,3,False
logistic_regression,0.1,0.5714285714285714,0.625,0.5,1.0,0.6666666666666666,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,1,3,0,3,False
logistic_regression,0.15,0.5714285714285714,0.625,0.5,1.0,0.6666666666666666,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,1,3,0,3,False
logistic_regression,0.2,0.5714285714285714,0.625,0.5,1.0,0.6666666666666666,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,1,3,0,3,False
logistic_regression,0.25,0.5714285714285714,0.625,0.5,1.0,0.6666666666666666,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,1,3,0,3,False
logistic_regression,0.3,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,2,2,1,2,False
logistic_regression,0.35,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,2,2,1,2,False
logistic_regression,0.4,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,2,2,1,2,False
logistic_regression,0.45,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,2,2,1,2,False
logistic_regression,0.5,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,2,2,1,2,False
logistic_regression,0.55,0.42857142857142855,0.41666666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,2,2,2,1,False
logistic_regression,0.6,0.42857142857142855,0.41666666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,2,2,2,1,False
logistic_regression,0.65,0.5714285714285714,0.5416666666666666,0.5,0.3333333333333333,0.4,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,3,1,2,1,False
logistic_regression,0.7,0.5714285714285714,0.5416666666666666,0.5,0.3333333333333333,0.4,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,3,1,2,1,False
logistic_regression,0.75,0.5714285714285714,0.5416666666666666,0.5,0.3333333333333333,0.4,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,3,1,2,1,False
logistic_regression,0.8,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,4,0,2,1,True
logistic_regression,0.85,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,4,0,2,1,False
logistic_regression,0.9,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,0.5,0.6666666666666666,0.7,0.25057651784646523,0.6522718039747543,4,0,2,1,False
random_forest,0.1,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,0,4,0,3,False
random_forest,0.15,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,0,4,0,3,False
random_forest,0.2,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,0,4,0,3,False
random_forest,0.25,0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,0,4,0,3,False
random_forest,0.3,0.5714285714285714,0.625,0.5,1.0,0.6666666666666666,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,1,3,0,3,False
random_forest,0.35,0.5714285714285714,0.625,0.5,1.0,0.6666666666666666,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,1,3,0,3,False
random_forest,0.4,0.7142857142857143,0.75,0.6,1.0,0.75,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,2,2,0,3,False
random_forest,0.45,0.8571428571428571,0.875,0.75,1.0,0.8571428571428571,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,3,1,0,3,True
random_forest,0.5,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,3,1,1,2,False
random_forest,0.55,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,3,1,1,2,False
random_forest,0.6,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,3,1,1,2,False
random_forest,0.65,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,3,1,1,2,False
random_forest,0.7,0.5714285714285714,0.5,0.0,0.0,0.0,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,4,0,3,0,False
random_forest,0.75,0.5714285714285714,0.5,0.0,0.0,0.0,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,4,0,3,0,False
random_forest,0.8,0.5714285714285714,0.5,0.0,0.0,0.0,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,4,0,3,0,False
random_forest,0.85,0.5714285714285714,0.5,0.0,0.0,0.0,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,4,0,3,0,False
random_forest,0.9,0.5714285714285714,0.5,0.0,0.0,0.0,0.8333333333333334,0.8055555555555556,0.18810579120100424,0.5642258568489068,4,0,3,0,False
